match_id,inning,batting_team,wides,noballs,byes,legbyes
2012-01-09,1,Melbourne Stars,5,0,0,3
2012-01-09,2,Hobart Hurricanes,1,2,1,3
2022-01-28,1,Perth Scorchers,4,0,0,1
2022-01-28,2,Sydney Sixers,5,0,0,1
2014-01-08,1,Brisbane Heat,5,0,0,4
2014-01-08,2,Sydney Thunder,0,0,0,1
6,1,Sydney Sixers,4,0,0,0
6,2,Melbourne Renegades,0,0,0,1
46,1,Adelaide Strikers,3,0,1,1
46,2,Brisbane Heat,1,0,1,4
29,1,Hobart Hurricanes,7,0,0,1
29,2,Brisbane Heat,1,0,0,1
13,1,Brisbane Heat,4,0,0,4
13,2,Adelaide Strikers,8,0,0,0
2013-12-30,1,Melbourne Renegades,1,2,0,1
2013-12-30,2,Brisbane Heat,14,0,0,1
30,1,Sydney Sixers,10,0,0,4
30,2,Perth Scorchers,2,0,2,2
33,1,Brisbane Heat,4,0,0,3
33,2,Perth Scorchers,4,0,0,6
43,1,Melbourne Renegades,7,0,1,3
43,2,Perth Scorchers,3,0,0,2
2011-12-21,1,Hobart Hurricanes,2,0,2,2
2011-12-21,2,Sydney Sixers,2,0,0,5
2023-01-27,1,Brisbane Heat,4,1,1,1
2023-01-27,2,Sydney Thunder,2,0,1,1
29,1,Brisbane Heat,6,1,0,4
29,2,Melbourne Stars,5,0,0,3
2023-02-02,1,Sydney Sixers,4,0,0,1
2023-02-02,2,Brisbane Heat,1,0,0,2
39,1,Melbourne Stars,4,0,0,2
39,2,Adelaide Strikers,3,0,0,2
14,1,Hobart Hurricanes,3,0,0,7
14,2,Melbourne Renegades,4,0,0,3
2024-01-20,1,Adelaide Strikers,3,0,0,1
2024-01-20,2,Perth Scorchers,3,0,0,0
2014-12-30,1,Sydney Thunder,4,1,0,0
2014-12-30,2,Melbourne Renegades,2,0,0,2
32,1,Perth Scorchers,2,1,0,5
32,2,Brisbane Heat,4,0,0,1
1,1,Sydney Thunder,4,0,2,10
1,2,Sydney Sixers,3,0,0,0
10,1,Sydney Thunder,1,0,1,2
10,2,Melbourne Stars,4,1,4,4
33,1,Melbourne Stars,2,0,0,1
33,2,Melbourne Renegades,4,1,0,2
2013-12-21,1,Sydney Thunder,20,0,1,3
2013-12-21,2,Sydney Sixers,11,2,0,6
54,1,Adelaide Strikers,4,1,1,2
54,2,Melbourne Renegades,8,1,3,4
23,1,Perth Scorchers,9,1,0,3
23,2,Brisbane Heat,1,1,0,1
27,1,Perth Scorchers,4,0,0,3
27,2,Adelaide Strikers,3,0,0,1
19,1,Sydney Sixers,2,0,0,1
19,2,Hobart Hurricanes,1,0,1,1
24,1,Brisbane Heat,5,2,0,1
24,2,Sydney Thunder,0,0,0,0
2011-12-27,1,Sydney Sixers,3,0,0,1
2011-12-27,2,Melbourne Stars,2,0,0,2
2016-01-21,1,Adelaide Strikers,9,1,0,0
2016-01-21,2,Sydney Thunder,1,1,0,1
10,1,Sydney Sixers,2,0,1,4
10,2,Melbourne Stars,6,0,1,0
20,1,Hobart Hurricanes,7,1,0,2
20,2,Brisbane Heat,4,3,0,0
17,1,Sydney Thunder,3,2,0,0
17,2,Adelaide Strikers,3,2,1,2
26,1,Melbourne Stars,2,0,0,0
26,2,Melbourne Renegades,2,0,0,2
2012-01-12,1,Brisbane Heat,1,1,1,5
2012-01-12,2,Melbourne Renegades,8,2,0,1
6,1,Perth Scorchers,3,1,0,1
6,2,Sydney Sixers,1,1,0,2
8,1,Hobart Hurricanes,5,0,0,1
8,2,Adelaide Strikers,5,0,0,2
15,1,Melbourne Stars,5,2,0,2
15,2,Brisbane Heat,1,0,1,0
2014-01-27,1,Melbourne Stars,4,1,3,2
2014-01-27,2,Perth Scorchers,3,0,0,0
56,1,Brisbane Heat,1,0,0,3
56,2,Melbourne Renegades,6,0,0,3
11,1,Adelaide Strikers,3,0,0,0
11,2,Sydney Thunder,0,0,0,7
45,1,Sydney Sixers,2,1,0,1
45,2,Melbourne Stars,3,1,1,1
53,1,Sydney Sixers,8,2,0,0
53,2,Hobart Hurricanes,5,0,1,1
2015-01-22,1,Sydney Thunder,2,2,0,0
2015-01-22,2,Sydney Sixers,1,1,0,6
2012-12-16,1,Sydney Sixers,2,0,1,1
2012-12-16,2,Perth Scorchers,6,2,0,4
26,1,Brisbane Heat,3,0,8,3
26,2,Melbourne Renegades,3,0,4,8
25,1,Perth Scorchers,1,3,0,3
25,2,Melbourne Renegades,3,0,0,4
50,1,Hobart Hurricanes,6,0,0,1
50,2,Sydney Thunder,2,0,0,2
49,1,Brisbane Heat,1,1,1,1
49,2,Melbourne Renegades,2,0,0,0
27,1,Melbourne Stars,1,1,0,2
27,2,Hobart Hurricanes,3,1,0,1
7,1,Perth Scorchers,4,0,1,2
7,2,Melbourne Stars,4,0,6,2
45,1,Adelaide Strikers,1,1,1,5
45,2,Sydney Sixers,1,0,0,4
2012-12-15,1,Hobart Hurricanes,6,0,0,1
2012-12-15,2,Melbourne Stars,0,1,0,2
2,1,Adelaide Strikers,3,1,0,3
2,2,Melbourne Stars,7,0,2,1
9,1,Hobart Hurricanes,5,0,0,1
9,2,Perth Scorchers,8,1,2,7
2022-01-26,1,Adelaide Strikers,6,1,1,3
2022-01-26,2,Sydney Sixers,3,0,1,1
11,1,Adelaide Strikers,2,0,0,2
11,2,Sydney Sixers,2,0,1,0
11,1,Melbourne Renegades,6,0,2,2
11,2,Brisbane Heat,4,0,1,2
32,1,Melbourne Stars,3,0,0,1
32,2,Sydney Sixers,10,1,0,0
2015-01-07,1,Melbourne Renegades,2,0,1,2
2015-01-07,2,Hobart Hurricanes,3,0,0,0
23,1,Hobart Hurricanes,0,0,1,0
23,2,Melbourne Renegades,4,0,0,0
2012-12-18,1,Brisbane Heat,1,0,0,2
2012-12-18,2,Perth Scorchers,0,0,0,0
32,1,Brisbane Heat,2,1,0,6
32,2,Perth Scorchers,4,0,4,10
31,1,Hobart Hurricanes,4,0,0,1
31,2,Adelaide Strikers,5,0,0,4
47,1,Perth Scorchers,1,0,0,3
47,2,Hobart Hurricanes,6,0,0,4
13,1,Adelaide Strikers,5,0,4,5
13,2,Melbourne Stars,11,0,0,3
35,1,Brisbane Heat,3,0,0,6
35,2,Sydney Sixers,2,0,0,1
22,1,Perth Scorchers,3,0,0,0
22,2,Sydney Thunder,0,1,0,3
3,1,Melbourne Renegades,6,0,0,6
3,2,Adelaide Strikers,8,0,0,1
33,1,Hobart Hurricanes,3,1,0,4
33,2,Adelaide Strikers,5,0,0,0
2012-01-18,1,Sydney Sixers,4,1,1,2
2012-01-18,2,Perth Scorchers,11,3,0,6
15,1,Adelaide Strikers,2,0,0,3
15,2,Melbourne Renegades,2,0,0,3
16,1,Melbourne Renegades,4,0,0,1
16,2,Melbourne Stars,3,0,0,1
2,1,Brisbane Heat,0,1,1,4
2,2,Melbourne Stars,3,0,0,0
25,1,Brisbane Heat,7,0,0,3
25,2,Sydney Sixers,5,1,0,1
54,1,Perth Scorchers,2,0,2,2
54,2,Adelaide Strikers,3,1,0,5
30,1,Melbourne Renegades,5,0,0,4
30,2,Melbourne Stars,2,0,0,2
34,1,Melbourne Stars,4,1,0,3
34,2,Sydney Sixers,3,0,0,2
31,1,Hobart Hurricanes,2,0,0,3
31,2,Sydney Thunder,9,0,1,3
4,1,Hobart Hurricanes,3,0,1,5
4,2,Sydney Sixers,6,0,0,1
2013-01-04,1,Sydney Thunder,3,0,0,2
2013-01-04,2,Perth Scorchers,7,1,0,8
16,1,Brisbane Heat,6,0,0,4
16,2,Sydney Thunder,7,1,2,3
42,1,Sydney Sixers,1,1,0,1
42,2,Perth Scorchers,2,0,0,0
27,1,Sydney Thunder,1,1,0,5
27,2,Melbourne Renegades,1,1,0,1
50,1,Adelaide Strikers,6,0,0,3
50,2,Brisbane Heat,2,0,0,1
2013-01-07,1,Brisbane Heat,1,0,0,0
2013-01-07,2,Sydney Sixers,2,0,0,3
44,1,Melbourne Renegades,5,0,2,1
44,2,Brisbane Heat,0,0,0,0
51,1,Perth Scorchers,1,0,0,5
51,2,Melbourne Stars,2,1,0,0
55,1,Hobart Hurricanes,1,0,1,2
55,2,Brisbane Heat,7,0,0,7
37,1,Melbourne Renegades,7,0,0,4
37,2,Sydney Thunder,0,0,0,4
40,1,Melbourne Renegades,4,0,0,5
40,2,Brisbane Heat,2,0,0,1
22,1,Perth Scorchers,9,0,0,3
22,2,Sydney Thunder,7,1,0,3
26,1,Melbourne Renegades,3,1,0,0
26,2,Hobart Hurricanes,2,0,0,2
29,1,Brisbane Heat,8,0,0,3
29,2,Hobart Hurricanes,5,1,0,1
53,1,Melbourne Stars,7,0,0,1
53,2,Brisbane Heat,6,0,0,0
40,1,Brisbane Heat,3,0,0,3
40,2,Adelaide Strikers,0,0,4,0
36,1,Adelaide Strikers,1,0,0,3
36,2,Brisbane Heat,1,1,0,0
27,1,Adelaide Strikers,5,1,2,1
27,2,Melbourne Stars,4,0,0,1
32,1,Sydney Thunder,3,0,0,5
32,2,Adelaide Strikers,8,0,0,2
10,1,Hobart Hurricanes,11,1,2,0
10,2,Brisbane Heat,2,2,0,0
7,1,Melbourne Stars,8,3,0,1
7,2,Sydney Thunder,10,0,0,2
17,1,Sydney Sixers,2,0,1,1
17,2,Perth Scorchers,2,0,0,6
10,1,Adelaide Strikers,3,0,0,1
10,2,Perth Scorchers,3,0,0,3
5,1,Adelaide Strikers,3,0,0,5
5,2,Sydney Thunder,2,0,0,1
2011-12-28,1,Hobart Hurricanes,2,0,0,3
2011-12-28,2,Adelaide Strikers,0,0,5,8
23,1,Melbourne Stars,9,1,1,1
23,2,Brisbane Heat,4,0,5,1
41,1,Melbourne Stars,7,0,0,8
41,2,Perth Scorchers,3,1,0,2
34,1,Melbourne Renegades,3,0,0,3
34,2,Hobart Hurricanes,6,0,0,4
42,1,Perth Scorchers,7,0,2,2
42,2,Melbourne Stars,6,0,0,3
38,1,Perth Scorchers,2,0,0,5
38,2,Sydney Sixers,5,1,0,3
55,1,Sydney Thunder,5,0,0,0
55,2,Melbourne Renegades,12,0,1,1
16,1,Melbourne Renegades,6,1,0,2
16,2,Melbourne Stars,3,0,0,3
10,1,Melbourne Renegades,2,1,0,2
10,2,Hobart Hurricanes,4,3,0,1
2012-12-19,1,Hobart Hurricanes,9,0,4,1
2012-12-19,2,Melbourne Renegades,5,0,0,0
49,1,Brisbane Heat,15,0,1,4
49,2,Hobart Hurricanes,8,0,0,6
2012-12-28,1,Sydney Thunder,6,0,0,2
2012-12-28,2,Brisbane Heat,3,0,4,2
2015-01-25,1,Perth Scorchers,3,0,0,2
2015-01-25,2,Melbourne Stars,4,0,0,4
19,1,Sydney Thunder,4,0,0,12
19,2,Melbourne Stars,2,0,0,7
33,1,Adelaide Strikers,6,0,0,2
33,2,Melbourne Renegades,3,0,1,14
37,1,Sydney Thunder,1,0,0,1
37,2,Adelaide Strikers,2,0,0,3
23,1,Adelaide Strikers,3,0,0,7
23,2,Sydney Sixers,1,1,0,1
42,1,Sydney Sixers,4,0,0,1
42,2,Sydney Thunder,1,1,0,0
2012-01-21,1,Perth Scorchers,1,0,0,2
2012-01-21,2,Melbourne Stars,2,0,1,3
17,1,Brisbane Heat,3,0,0,1
17,2,Sydney Thunder,6,0,0,3
29,1,Adelaide Strikers,4,2,0,2
29,2,Melbourne Renegades,1,0,0,6
1,1,Sydney Sixers,4,0,0,1
1,2,Melbourne Stars,6,0,2,1
1,1,Sydney Thunder,1,0,4,1
1,2,Brisbane Heat,8,0,0,4
28,1,Sydney Thunder,2,0,0,0
28,2,Adelaide Strikers,10,0,0,1
25,1,Brisbane Heat,2,0,1,1
25,2,Sydney Thunder,2,0,0,0
2014-12-19,1,Melbourne Renegades,6,0,0,1
2014-12-19,2,Sydney Sixers,2,0,0,4
18,1,Sydney Sixers,3,0,0,0
18,2,Melbourne Renegades,6,0,0,2
2024-01-24,1,Brisbane Heat,1,0,0,0
2024-01-24,2,Sydney Sixers,2,0,0,0
8,1,Hobart Hurricanes,5,0,0,0
8,2,Sydney Sixers,4,0,0,3
17,1,Adelaide Strikers,5,3,0,3
17,2,Perth Scorchers,3,0,1,4
4,1,Sydney Sixers,3,0,1,2
4,2,Hobart Hurricanes,4,0,0,1
4,1,Adelaide Strikers,3,1,5,3
4,2,Sydney Thunder,5,0,4,1
8,1,Sydney Thunder,3,0,1,0
8,2,Adelaide Strikers,8,0,0,2
2012-01-22,1,Sydney Sixers,0,0,0,3
2012-01-22,2,Hobart Hurricanes,1,0,1,2
12,1,Perth Scorchers,1,1,0,1
12,2,Hobart Hurricanes,3,1,0,0
2014-01-23,1,Hobart Hurricanes,8,5,0,1
2014-01-23,2,Brisbane Heat,4,0,1,0
10,1,Sydney Sixers,2,1,0,1
10,2,Melbourne Stars,1,0,0,4
11,1,Sydney Sixers,4,1,0,0
11,2,Hobart Hurricanes,6,0,0,2
14,1,Sydney Sixers,2,1,1,1
14,2,Perth Scorchers,6,0,0,2
8,1,Melbourne Stars,1,2,1,1
8,2,Hobart Hurricanes,5,0,0,2
31,1,Perth Scorchers,11,1,4,2
31,2,Melbourne Stars,2,0,0,0
2012-12-23,1,Sydney Sixers,5,1,1,1
2012-12-23,2,Adelaide Strikers,8,1,0,0
2012-12-22,1,Brisbane Heat,3,0,1,0
2012-12-22,2,Melbourne Renegades,1,0,0,8
55,1,Melbourne Renegades,4,0,0,3
55,2,Hobart Hurricanes,1,1,0,1
2015-01-06,1,Perth Scorchers,3,1,0,3
2015-01-06,2,Adelaide Strikers,2,1,0,6
23,1,Melbourne Renegades,3,0,0,2
23,2,Melbourne Stars,6,0,0,2
15,1,Hobart Hurricanes,1,1,1,0
15,2,Sydney Thunder,3,0,1,8
2012-01-28,1,Perth Scorchers,3,0,2,2
2012-01-28,2,Sydney Sixers,6,0,0,0
20,1,Adelaide Strikers,4,0,0,3
20,2,Sydney Thunder,3,0,4,4
40,1,Hobart Hurricanes,9,1,1,1
40,2,Sydney Sixers,6,0,0,1
8,1,Sydney Thunder,4,1,0,1
8,2,Brisbane Heat,5,0,0,2
31,1,Hobart Hurricanes,4,2,1,7
31,2,Melbourne Stars,1,0,0,2
48,1,Adelaide Strikers,1,0,3,3
48,2,Melbourne Stars,1,0,1,1
2014-12-18,1,Melbourne Stars,4,0,0,1
2014-12-18,2,Adelaide Strikers,1,0,1,2
5,1,Hobart Hurricanes,3,1,0,1
5,2,Melbourne Renegades,3,0,0,0
2011-12-30,1,Melbourne Renegades,9,0,0,1
2011-12-30,2,Sydney Thunder,8,0,0,3
21,1,Melbourne Renegades,1,0,0,1
21,2,Perth Scorchers,3,1,0,2
2018-02-02,1,Adelaide Strikers,3,1,1,0
2018-02-02,2,Melbourne Renegades,6,0,2,3
15,1,Melbourne Stars,8,1,0,3
15,2,Sydney Sixers,2,0,4,8
13,1,Melbourne Renegades,6,1,0,4
13,2,Hobart Hurricanes,10,0,0,2
7,1,Melbourne Stars,1,0,0,1
7,2,Perth Scorchers,1,0,0,0
29,1,Brisbane Heat,5,0,0,2
29,2,Hobart Hurricanes,8,2,0,2
18,1,Melbourne Renegades,3,0,0,4
18,2,Sydney Sixers,3,1,0,3
8,1,Sydney Thunder,11,0,0,2
8,2,Brisbane Heat,4,0,0,1
3,1,Melbourne Renegades,4,0,0,3
3,2,Sydney Thunder,4,0,0,3
45,1,Hobart Hurricanes,7,0,1,0
45,2,Sydney Thunder,7,1,1,1
47,1,Perth Scorchers,3,0,0,3
47,2,Adelaide Strikers,5,0,0,1
2018-02-04,1,Adelaide Strikers,6,1,0,4
2018-02-04,2,Hobart Hurricanes,3,0,0,8
8,1,Sydney Thunder,2,1,1,1
8,2,Sydney Sixers,1,0,0,0
10,1,Brisbane Heat,3,0,3,3
10,2,Melbourne Renegades,2,0,4,1
8,1,Sydney Thunder,3,0,0,1
8,2,Sydney Sixers,4,1,0,2
36,1,Perth Scorchers,7,0,0,2
36,2,Sydney Thunder,3,1,0,2
2014-01-15,1,Sydney Sixers,5,0,0,1
2014-01-15,2,Hobart Hurricanes,3,0,1,7
34,1,Perth Scorchers,5,3,0,2
34,2,Hobart Hurricanes,4,0,1,1
2015-01-11,1,Perth Scorchers,1,0,4,1
2015-01-11,2,Hobart Hurricanes,1,0,0,2
3,1,Melbourne Stars,8,0,0,2
3,2,Sydney Thunder,4,1,0,1
2020-01-30,1,Sydney Thunder,3,0,1,4
2020-01-30,2,Hobart Hurricanes,8,0,0,3
11,1,Sydney Thunder,4,1,0,2
11,2,Hobart Hurricanes,2,2,0,0
20,1,Hobart Hurricanes,3,0,0,3
20,2,Sydney Thunder,0,1,0,4
17,1,Perth Scorchers,5,2,2,3
17,2,Melbourne Renegades,2,0,0,3
43,1,Adelaide Strikers,0,0,0,6
43,2,Hobart Hurricanes,0,0,0,1
9,1,Brisbane Heat,1,0,0,7
9,2,Perth Scorchers,1,0,2,2
2011-12-18,1,Adelaide Strikers,2,0,0,1
2011-12-18,2,Melbourne Renegades,5,0,1,1
38,1,Perth Scorchers,6,0,0,1
38,2,Melbourne Stars,5,0,0,4
55,1,Hobart Hurricanes,6,1,0,2
55,2,Sydney Thunder,5,3,3,2
2012-01-18,1,Melbourne Renegades,0,0,0,2
2012-01-18,2,Hobart Hurricanes,7,0,0,7
2012-12-09,1,Brisbane Heat,5,1,0,0
2012-12-09,2,Hobart Hurricanes,4,1,4,7
19,1,Hobart Hurricanes,3,0,1,1
19,2,Melbourne Renegades,3,1,0,8
21,1,Melbourne Renegades,2,0,0,2
21,2,Sydney Sixers,6,0,0,3
17,1,Sydney Thunder,3,0,1,1
17,2,Perth Scorchers,3,0,2,5
51,1,Adelaide Strikers,0,1,1,1
51,2,Perth Scorchers,6,0,0,3
42,1,Sydney Thunder,3,1,0,8
42,2,Hobart Hurricanes,1,1,0,0
17,1,Hobart Hurricanes,3,1,0,1
17,2,Adelaide Strikers,6,1,0,1
50,1,Sydney Sixers,5,0,0,0
50,2,Sydney Thunder,3,0,0,0
13,1,Perth Scorchers,2,0,0,2
13,2,Hobart Hurricanes,2,0,0,2
48,1,Sydney Thunder,4,0,0,1
48,2,Sydney Sixers,4,0,0,2
4,1,Sydney Sixers,0,0,1,3
4,2,Perth Scorchers,7,1,0,2
