match_id,season,venue,team1,team2,toss_winner,toss_decision,winner
20,2017/18,Lilac Hill Park,Sydney Sixers,Perth Scorchers,Sydney Sixers,bat,Perth Scorchers
20,2022/23,"Allan Border Field, Brisbane",Perth Scorchers,Adelaide Strikers,Perth Scorchers,bat,Adelaide Strikers
51,2023/24,"Bellerive Oval, Hobart",Hobart Hurricanes,Melbourne Renegades,Melbourne Renegades,field,Hobart Hurricanes
10,2018/19,West Park Oval,Hobart Hurricanes,Melbourne Stars,Hobart Hurricanes,bat,Hobart Hurricanes
17,2017/18,W.A.C.A. Ground,Melbourne Stars,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
52,2019/20,Lilac Hill Park,Perth Scorchers,Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes
53,2018/19,Cazaly's Stadium,Brisbane Heat,Sydney Thunder,Brisbane Heat,field,Brisbane Heat
15,2020/21,Sydney Showground Stadium,Melbourne Renegades,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
19,2024/25,"Junction Oval, Melbourne",Melbourne Renegades,Melbourne Stars,Melbourne Stars,field,Melbourne Renegades
23,2016/17,Sydney Showground Stadium,Sydney Sixers,Sydney Thunder,Sydney Thunder,field,Sydney Sixers
51,2018/19,Traeger Park,Adelaide Strikers,Perth Scorchers,Adelaide Strikers,bat,Adelaide Strikers
40,2016/17,Melbourne Cricket Ground,Adelaide Strikers,Melbourne Stars,Melbourne Stars,field,Melbourne Stars
3,2018/19,Junction Oval,Adelaide Strikers,Brisbane Heat,Brisbane Heat,field,Adelaide Strikers
36,2017/18,Harrup Park,Brisbane Heat,Melbourne Stars,Brisbane Heat,bat,Melbourne Stars
4,2021/22,"Bellerive Oval, Hobart",Hobart Hurricanes,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
10,2020/21,Drummoyne Oval,Melbourne Renegades,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
31,2023/24,"Allan Border Field, Brisbane",Perth Scorchers,Brisbane Heat,Brisbane Heat,field,Perth Scorchers
15,2024/25,"Bellerive Oval, Hobart",Sydney Sixers,Hobart Hurricanes,Hobart Hurricanes,field,Sydney Sixers
2023-12-02,2023/24,Adelaide Oval,Adelaide Strikers,Brisbane Heat,Adelaide Strikers,bat,Adelaide Strikers
28,2020/21,Hurstville Oval,Perth Scorchers,Sydney Sixers,Perth Scorchers,bat,Perth Scorchers
55,2021/22,Adelaide Oval,Sydney Sixers,Perth Scorchers,Sydney Sixers,bat,Perth Scorchers
42,2023/24,"Allan Border Field, Brisbane",Melbourne Stars,Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes
47,2021/22,"Karen Rolton Oval, Adelaide",Perth Scorchers,Adelaide Strikers,Perth Scorchers,bat,Perth Scorchers
55,2016/17,North Sydney Oval,Sydney Sixers,Melbourne Renegades,Melbourne Renegades,field,Sydney Sixers
12,2024/25,"Junction Oval, Melbourne",Hobart Hurricanes,Melbourne Stars,Hobart Hurricanes,bat,Melbourne Stars
31,2018/19,Sydney Cricket Ground,Sydney Sixers,Melbourne Renegades,Melbourne Renegades,bat,Sydney Sixers
9,2018/19,North Sydney Oval,Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Sixers
38,2016/17,Sydney Cricket Ground,Perth Scorchers,Sydney Sixers,Perth Scorchers,bat,Sydney Sixers
46,2017/18,Casey Fields No. 4,Melbourne Stars,Sydney Sixers,Melbourne Stars,bat,Sydney Sixers
53,2022/23,"Ted Summerton Reserve, Moe",Perth Scorchers,Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades
11,2022/23,"Western Australia Cricket Association Ground, Perth",Melbourne Stars,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
48,2019/20,Allan Border Field,Brisbane Heat,Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades
56,2021/22,Adelaide Oval,Adelaide Strikers,Melbourne Stars,Adelaide Strikers,bat,Melbourne Stars
8,2023/24,"Junction Oval, Melbourne",Melbourne Stars,Adelaide Strikers,Melbourne Stars,bat,Adelaide Strikers
51,2019/20,Hurstville Oval,Sydney Sixers,Adelaide Strikers,Sydney Sixers,bat,Adelaide Strikers
34,2021/22,Adelaide Oval,Sydney Thunder,Brisbane Heat,Sydney Thunder,bat,Brisbane Heat
25,2020/21,Hurstville Oval,Sydney Thunder,Hobart Hurricanes,Hobart Hurricanes,field,Sydney Thunder
33,2021/22,"Western Australia Cricket Association Ground, Perth",Hobart Hurricanes,Perth Scorchers,Hobart Hurricanes,bat,Hobart Hurricanes
2024-12-01,2024/25,Melbourne Cricket Ground,Melbourne Renegades,Brisbane Heat,Brisbane Heat,field,Melbourne Renegades
44,2019/20,Eastern Oval,Melbourne Renegades,Melbourne Stars,Melbourne Stars,field,Melbourne Stars
20,2023/24,"Bellerive Oval, Hobart",Melbourne Stars,Hobart Hurricanes,Melbourne Stars,bat,Hobart Hurricanes
34,2019/20,Drummoyne Oval,Sydney Thunder,Brisbane Heat,Sydney Thunder,field,Brisbane Heat
7,2019/20,Karen Rolton Oval,Adelaide Strikers,Melbourne Renegades,Adelaide Strikers,bat,Melbourne Renegades
49,2022/23,"North Sydney Oval, Sydney",Brisbane Heat,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
8,2024/25,"North Sydney Oval, Sydney",Sydney Thunder,Adelaide Strikers,Sydney Thunder,bat,Sydney Thunder
8,2018/19,North Sydney Oval,Brisbane Heat,Perth Scorchers,Brisbane Heat,field,Brisbane Heat
54,2020/21,North Sydney Oval,Adelaide Strikers,Perth Scorchers,Perth Scorchers,field,Adelaide Strikers
50,2017/18,Hurstville Oval,Adelaide Strikers,Sydney Sixers,Adelaide Strikers,bat,Sydney Sixers
32,2016/17,Camberwell Sports Ground,Perth Scorchers,Melbourne Renegades,Perth Scorchers,bat,Melbourne Renegades
56,2023/24,Sydney Cricket Ground,Sydney Thunder,Sydney Sixers,Sydney Thunder,bat,Sydney Sixers
2016-01-21,2015/16,Adelaide Oval,Sydney Thunder,Perth Scorchers,Sydney Thunder,bat,Sydney Thunder
17,2022/23,"Karen Rolton Oval, Adelaide",Melbourne Renegades,Adelaide Strikers,Adelaide Strikers,field,Adelaide Strikers
39,2016/17,Bellerive Oval,Brisbane Heat,Hobart Hurricanes,Brisbane Heat,bat,Hobart Hurricanes
34,2022/23,"Lilac Hill Park, Perth",Perth Scorchers,Adelaide Strikers,Perth Scorchers,bat,Adelaide Strikers
48,2017/18,Manuka Oval,Melbourne Renegades,Sydney Thunder,Sydney Thunder,field,Sydney Thunder
14,2022/23,"Western Australia Cricket Association Ground, Perth",Sydney Thunder,Perth Scorchers,Perth Scorchers,field,Sydney Thunder
15,2018/19,Bellerive Oval,Hobart Hurricanes,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
54,2019/20,Hurstville Oval,Sydney Sixers,Adelaide Strikers,Adelaide Strikers,field,Sydney Sixers
36,2024/25,"Allan Border Field, Brisbane",Melbourne Stars,Brisbane Heat,Brisbane Heat,field,Brisbane Heat
32,2018/19,Hurstville Oval,Sydney Sixers,Adelaide Strikers,Adelaide Strikers,field,Sydney Sixers
43,2018/19,Harrup Park,Brisbane Heat,Adelaide Strikers,Adelaide Strikers,field,Brisbane Heat
12,2019/20,Blacktown International Sportspark,Sydney Thunder,Melbourne Renegades,Melbourne Renegades,field,Sydney Thunder
26,2018/19,Adelaide Oval,Adelaide Strikers,Melbourne Stars,Melbourne Stars,field,Adelaide Strikers
21,2022/23,"Eastern Oval, Ballarat",Hobart Hurricanes,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
6,2022/23,"Great Barrier Reef Arena, Mackay",Sydney Sixers,Melbourne Stars,Melbourne Stars,field,Sydney Sixers
9,2017/18,Allan Border Field,Perth Scorchers,Brisbane Heat,Perth Scorchers,bat,Brisbane Heat
24,2024/25,"Drummoyne Oval, Sydney",Perth Scorchers,Sydney Thunder,Perth Scorchers,bat,Perth Scorchers
30,2018/19,Perth Stadium,Perth Scorchers,Brisbane Heat,Brisbane Heat,field,Brisbane Heat
5,2023/24,"North Sydney Oval, Sydney",Brisbane Heat,Perth Scorchers,Perth Scorchers,field,Brisbane Heat
9,2024/25,"North Sydney Oval, Sydney",Melbourne Stars,Sydney Sixers,Melbourne Stars,bat,Melbourne Stars
41,2018/19,"Simonds Stadium, South Geelong, Victoria",Melbourne Renegades,Hobart Hurricanes,Hobart Hurricanes,bat,Melbourne Renegades
18,2015/16,Drummoyne Oval,Sydney Sixers,Melbourne Stars,Sydney Sixers,bat,Melbourne Stars
11,2016/17,Casey Fields No. 4,Sydney Sixers,Melbourne Stars,Sydney Sixers,bat,Melbourne Stars
53,2017/18,Melbourne Cricket Ground,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,field,Hobart Hurricanes
23,2017/18,Adelaide Oval,Adelaide Strikers,Brisbane Heat,Brisbane Heat,field,Brisbane Heat
35,2022/23,"Bellerive Oval, Hobart",Melbourne Renegades,Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes
26,2019/20,North Sydney Oval,Sydney Sixers,Brisbane Heat,Sydney Sixers,bat,Brisbane Heat
5,2018/19,North Sydney Oval,Sydney Sixers,Perth Scorchers,Perth Scorchers,bat,Sydney Sixers
14,2020/21,Sydney Showground Stadium,Sydney Thunder,Brisbane Heat,Brisbane Heat,field,Sydney Thunder
13,2023/24,"Allan Border Field, Brisbane",Brisbane Heat,Melbourne Stars,Melbourne Stars,field,Brisbane Heat
3,2019/20,North Sydney Oval,Sydney Sixers,Brisbane Heat,Brisbane Heat,bat,Brisbane Heat
23,2019/20,West Park Oval,Hobart Hurricanes,Sydney Thunder,Sydney Thunder,field,Sydney Thunder
28,2017/18,Bellerive Oval,Hobart Hurricanes,Brisbane Heat,Brisbane Heat,field,Brisbane Heat
2,2020/21,Hurstville Oval,Hobart Hurricanes,Adelaide Strikers,Adelaide Strikers,field,Adelaide Strikers
30,2015/16,Adelaide Oval,Adelaide Strikers,Perth Scorchers,Adelaide Strikers,bat,Adelaide Strikers
26,2023/24,"Western Australia Cricket Association Ground, Perth",Perth Scorchers,Adelaide Strikers,Perth Scorchers,bat,Adelaide Strikers
32,2020/21,Blacktown International Sportspark,Sydney Thunder,Brisbane Heat,Sydney Thunder,bat,Brisbane Heat
2022-11-26,2022/23,"North Sydney Oval, Sydney",Adelaide Strikers,Sydney Sixers,Adelaide Strikers,bat,Adelaide Strikers
52,2017/18,"Brisbane Cricket Ground, Woolloongabba",Sydney Thunder,Brisbane Heat,Sydney Thunder,bat,Brisbane Heat
45,2021/22,"Ray Mitchell Oval, Harrup Park, Mackay",Brisbane Heat,Adelaide Strikers,Brisbane Heat,bat,Adelaide Strikers
39,2018/19,Melbourne Cricket Ground,Melbourne Stars,Melbourne Renegades,Melbourne Stars,field,Melbourne Renegades
46,2021/22,"Ray Mitchell Oval, Harrup Park, Mackay",Sydney Sixers,Sydney Thunder,Sydney Sixers,bat,Sydney Thunder
22,2020/21,Hurstville Oval,Melbourne Renegades,Sydney Thunder,Sydney Thunder,field,Melbourne Renegades
34,2020/21,Drummoyne Oval,Brisbane Heat,Adelaide Strikers,Adelaide Strikers,field,Brisbane Heat
26,2017/18,Casey Fields No. 4,Adelaide Strikers,Melbourne Stars,Melbourne Stars,field,Adelaide Strikers
23,2023/24,"Casey Fields No 4, Melbourne",Melbourne Stars,Sydney Thunder,Melbourne Stars,bat,Sydney Thunder
3,2023/24,"University of Tasmania Stadium, Launceston",Perth Scorchers,Hobart Hurricanes,Hobart Hurricanes,field,Perth Scorchers
37,2021/22,"Karen Rolton Oval, Adelaide",Sydney Sixers,Brisbane Heat,Sydney Sixers,bat,Brisbane Heat
7,2017/18,North Dalton Park,Sydney Sixers,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
22,2022/23,"Eastern Oval, Ballarat",Melbourne Renegades,Melbourne Stars,Melbourne Stars,field,Melbourne Stars
24,2020/21,North Sydney Oval,Perth Scorchers,Melbourne Stars,Melbourne Stars,field,Melbourne Stars
22,2024/25,Sydney Cricket Ground,Sydney Thunder,Sydney Sixers,Sydney Thunder,bat,Sydney Thunder
21,2016/17,Allan Border Field,Brisbane Heat,Melbourne Stars,Brisbane Heat,bat,Brisbane Heat
37,2018/19,Aurora Stadium,Hobart Hurricanes,Brisbane Heat,Hobart Hurricanes,field,Brisbane Heat
31,2022/23,"Lilac Hill Park, Perth",Sydney Sixers,Perth Scorchers,Sydney Sixers,bat,Perth Scorchers
19,2023/24,"Junction Oval, Melbourne",Sydney Thunder,Melbourne Renegades,Sydney Thunder,bat,Sydney Thunder
24,2022/23,"Eastern Oval, Ballarat",Sydney Sixers,Melbourne Renegades,Melbourne Renegades,field,Sydney Sixers
28,2016/17,Adelaide Oval,Sydney Sixers,Adelaide Strikers,Sydney Sixers,bat,Sydney Sixers
39,2023/24,"Allan Border Field, Brisbane",Brisbane Heat,Hobart Hurricanes,Hobart Hurricanes,field,Brisbane Heat
46,2020/21,Sydney Showground Stadium,Adelaide Strikers,Melbourne Renegades,Adelaide Strikers,bat,Melbourne Renegades
36,2021/22,"Western Australia Cricket Association Ground, Perth",Hobart Hurricanes,Perth Scorchers,Hobart Hurricanes,bat,Perth Scorchers
38,2020/21,Sydney Showground Stadium,Perth Scorchers,Sydney Thunder,Perth Scorchers,bat,Perth Scorchers
23,2022/23,"Allan Border Field, Brisbane",Perth Scorchers,Brisbane Heat,Perth Scorchers,bat,Perth Scorchers
53,2020/21,Drummoyne Oval,Hobart Hurricanes,Sydney Thunder,Sydney Thunder,field,Sydney Thunder
23,2018/19,Karen Rolton Oval,Melbourne Stars,Adelaide Strikers,Melbourne Stars,field,Melbourne Stars
5,2024/25,"North Sydney Oval, Sydney",Adelaide Strikers,Sydney Sixers,Sydney Sixers,field,Adelaide Strikers
19,2018/19,Geelong Cricket Ground,Melbourne Renegades,Brisbane Heat,Brisbane Heat,bat,Brisbane Heat
35,2019/20,Nuriootpa Centennial Park,Melbourne Stars,Adelaide Strikers,Melbourne Stars,field,Adelaide Strikers
2020-11-26,2020/21,North Sydney Oval,Sydney Thunder,Brisbane Heat,Brisbane Heat,field,Sydney Thunder
55,2019/20,Junction Oval,Melbourne Stars,Brisbane Heat,Brisbane Heat,field,Brisbane Heat
7,2018/19,Junction Oval,Melbourne Renegades,Adelaide Strikers,Adelaide Strikers,bat,Melbourne Renegades
36,2023/24,"Junction Oval, Melbourne",Perth Scorchers,Sydney Thunder,Sydney Thunder,field,Perth Scorchers
56,2019/20,Lilac Hill Park,Perth Scorchers,Hobart Hurricanes,Hobart Hurricanes,field,Perth Scorchers
2,2021/22,"Bellerive Oval, Hobart",Hobart Hurricanes,Melbourne Renegades,Hobart Hurricanes,bat,Melbourne Renegades
53,2023/24,Adelaide Oval,Perth Scorchers,Adelaide Strikers,Adelaide Strikers,field,Adelaide Strikers
56,2016/17,Bellerive Oval,Melbourne Stars,Hobart Hurricanes,Melbourne Stars,bat,Hobart Hurricanes
54,2017/18,Camberwell Sports Ground,Melbourne Renegades,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
54,2021/22,"Ray Mitchell Oval, Harrup Park, Mackay",Brisbane Heat,Melbourne Renegades,Brisbane Heat,bat,Brisbane Heat
55,2018/19,"Simonds Stadium, South Geelong, Victoria",Melbourne Renegades,Sydney Sixers,Sydney Sixers,bat,Sydney Sixers
40,2024/25,"Allan Border Field, Brisbane",Sydney Sixers,Brisbane Heat,Brisbane Heat,field,Brisbane Heat
26,2021/22,"Lilac Hill Park, Perth",Adelaide Strikers,Melbourne Renegades,Adelaide Strikers,bat,Melbourne Renegades
27,2016/17,Melbourne Cricket Ground,Melbourne Stars,Melbourne Renegades,Melbourne Stars,bat,Melbourne Renegades
40,2020/21,Drummoyne Oval,Hobart Hurricanes,Brisbane Heat,Hobart Hurricanes,bat,Brisbane Heat
24,2019/20,Junction Oval,Melbourne Renegades,Hobart Hurricanes,Melbourne Renegades,field,Melbourne Renegades
13,2016/17,W.A.C.A. Ground,Brisbane Heat,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
48,2023/24,"Cricket Central, Sydney",Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Adelaide Strikers
25,2018/19,W.A.C.A. Ground,Perth Scorchers,Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades
35,2016/17,Docklands Stadium,Melbourne Stars,Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades
2019-01-19,2018/19,Drummoyne Oval,Sydney Thunder,Brisbane Heat,Sydney Thunder,field,Brisbane Heat
11,2023/24,"Cricket Central, Sydney",Melbourne Renegades,Sydney Thunder,Sydney Thunder,field,Sydney Thunder
18,2022/23,"Allan Border Field, Brisbane",Sydney Thunder,Brisbane Heat,Sydney Thunder,bat,Brisbane Heat
13,2018/19,Casey Fields No. 4,Melbourne Stars,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
27,2015/16,W.A.C.A. Ground,Melbourne Stars,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
2,2018/19,Junction Oval,Sydney Sixers,Melbourne Stars,Sydney Sixers,bat,Melbourne Stars
52,2023/24,Adelaide Oval,Brisbane Heat,Sydney Thunder,Brisbane Heat,bat,Brisbane Heat
4,2019/20,Junction Oval,Melbourne Stars,Hobart Hurricanes,Melbourne Stars,field,Hobart Hurricanes
18,2019/20,W.A.C.A. Ground,Melbourne Renegades,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
11,2024/25,"Junction Oval, Melbourne",Perth Scorchers,Melbourne Renegades,Perth Scorchers,bat,Melbourne Renegades
28,2023/24,"Jubilee Park, Ringwood, Melbourne",Sydney Sixers,Melbourne Stars,Melbourne Stars,field,Sydney Sixers
52,2016/17,Bellerive Oval,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,field,Melbourne Stars
16,2019/20,W.A.C.A. Ground,Perth Scorchers,Melbourne Renegades,Perth Scorchers,field,Perth Scorchers
10,2023/24,"Western Australia Cricket Association Ground, Perth",Hobart Hurricanes,Perth Scorchers,Hobart Hurricanes,bat,Perth Scorchers
